smd,kazuhide,0,0,20180120231040
kazuhide,smd,1,0,20180120231303
smd,kazuhide,0,0,20180120234102
smd,kazuhide,0,0,20180120234952
smd,kazuhide,0,0,20180120235913
smd,kazuhide,0,0,20180121000147
A,smd,87,0,20180121003129
smd,kazuhide,0,0,20180121003253
smd,kaz884,0,0,20180121004317
smd,kaz884,0,0,20180121005027
smd,kaz884,0,0,20180121005617
smd,kaz884,0,0,20180121010118
kaz884,smd,2,0,20180121010536
kaz884,smd,1,0,20180121010712
smd,kaz884,0,0,20180121011241
kaz884,smd,92,0,20180121011424
kaz884,smd,102,0,20180121011625
kaz884,smd,97,0,20180121011856
kaz884,smd,46,0,20180121012409
kaz884,smd,107,0,20180121012527
kaz884,smd,83,0,20180121012654
kaz884,smd,101,0,20180121013201
smd,kaz884,76,31,20180121013311
smd,kaz884,47,40,20180121013410
kaz884,kaz8843,102,0,20180121015834
smd,TM,0,0,20180121181022
smd,TM,0,0,20180121181200
smd,TM,0,0,20180121181259
smd,smdold,183,0,20180121233103
