OPP,110,20180117233321
OPP,135,20180119000035
OPP,8,20180119000815
OPP,12,20180119000907
OPP,14,20180119001223
OPP,14,20180119001427
OPP,4,20180119001518
OPP,0,20180119001629
OPP,25,20180119001720
OPP,0,20180119001811
OPP,0,20180119001902
OPP,0,20180119001940
OPP,49,20180119002339
OPP,2,20180119002543
OPP,2,20180119002630
OPP,0,20180119002759
OPP,2,20180119002942
OPP,69,20180119003219
OPP,0,20180119003412
OPP,94,20180119154012
OPP,94,20180119154157
OPP,1,20180119154321
OPP,0,20180119155120
OPP,4,20180119155242
OPP,4,20180119155349
OPP,13,20180119155447
OPP,2,20180119155900
OPP,6,20180119160019
OPP,1,20180119162342
OPP,1,20180119162448
OPP,7,20180119162837
OPP,7,20180119163130
OPP,9,20180119163347
OPP,3,20180119163547
OPP,97,20180119163950
OPP,4,20180119164333
OPP,55,20180119164826
OPP,91,20180119165119
OPP,99,20180119165224
OPP,27,20180119165622
OPP,40,20180119165755
OPP,71,20180119165912
OPP,99,20180119170040
OPP,99,20180119170152
OPP,39,20180119170327
OPP,55,20180119170442
OPP,10,20180119170901
OPP,0,20180119171006
OPP,87,20180119171153
OPP,84,20180119171337
OPP,99,20180119172043
OPP,95,20180119172529
OPP,94,20180119172700
OPP,86,20180119172936
OPP,85,20180119173143
OPP,98,20180119173256
OPP,87,20180119173426
OPP,82,20180119173539
OPP,96,20180119173648
OPP,96,20180119174022
OPP,120,20180119174251
OPP,89,20180119174742
OPP,90,20180119175221
OPP,136,20180119175648
OPP,81,20180119175759
OPP,96,20180119180131
OPP,106,20180119180557
OPP,81,20180119180720
OPP,123,20180119180824
OPP,92,20180119181042
OPP,92,20180119181149
OPP,87,20180119181349
OPP,104,20180119181451
OPP,112,20180119182036
OPP,94,20180119182344
OPP,100,20180119182613
OPP,92,20180120230925
OPP,68,20180120234416
OPP,114,20180121003016
OPP,24,20180121013412
OPP,7,20180121013514
OPP,5,20180121013611
OPP,31,20180121013710
OPP,16,20180121014052
OPP,139,20180121015147
OPP,69,20180121020907
OPP,98,20180121021302
OPP,90,20180121180537
OPP,74,20180121180730
OPP,72,20180121180911
OPP,97,20180121181027
OPP,75,20180121181233
OPP,48,20180121181814
OPP,91,20180121181949
OPP,114,20180121182118
OPP,101,20180121182229
OPP,86,20180121182422
OPP,89,20180121182553
OPP,30,20180121183433
OPP,18,20180121183838
OPP,133,20180121183842
OPP,61,20180121184056
OPP,61,20180121184056
OPP,87,20180121184103
OPP,60,20180121184429
OPP,86,20180121184444
OPP,31,20180121232921
OPP,33,20180121233418
OPP,124,20180121233516
OPP,4,20180121233614
OPP,93,20180121234027
OPP,35,20180121234602
OPP,33,20180121234846
OPP,106,20180122002315
OPP,84,20180122003158
OPP,96,20180122004636
OPP,0,20180122111723
OPP,94,20180122112545
OPP,76,20180122114534
OPP,96,20180122121945
OPP,68,20180122122440
OPP,108,20180122123516
OPP,83,20180122123959
OPP,111,20180122124458
OPP,78,20180122125346
OPP,94,20180122130359
OPP,77,20180122131425
OPP,91,20180122132103
OPP,106,20180122132625
OPP,103,20180122133541
